500,275;710,305;755,690;555,740;455,565;410,410
900,275;1110,305;1155,690;955,740;855,565;810,410
1300,275;1510,305;1555,690;1355,740;1255,565;1210,410
1700,275;1910,305;1955,690;1755,740;1655,565;1610,410
2100,275;2310,305;2355,690;2155,740;2055,565;2010,410
2500,275;2710,305;2755,690;2555,740;2455,565;2410,410
2900,275;3110,305;3155,690;2955,740;2855,565;2810,410
3300,275;3510,305;3555,690;3355,740;3255,565;3210,410
700,615;910,645;955,1030;755,1080;655,905;610,750
1100,615;1310,645;1355,1030;1155,1080;1055,905;1010,750
1500,615;1710,645;1755,1030;1555,1080;1455,905;1410,750
1900,615;2110,645;2155,1030;1955,1080;1855,905;1810,750
2300,615;2510,645;2555,1030;2355,1080;2255,905;2210,750
2700,615;2910,645;2955,1030;2755,1080;2655,905;2610,750
3100,615;3310,645;3355,1030;3155,1080;3055,905;3010,750
3500,615;3710,645;3755,1030;3555,1080;3455,905;3410,750
500,955;710,985;755,1370;555,1420;455,1245;410,1090
900,955;1110,985;1155,1370;955,1420;855,1245;810,1090
1300,955;1510,985;1555,1370;1355,1420;1255,1245;1210,1090
1700,955;1910,985;1955,1370;1755,1420;1655,1245;1610,1090
2100,955;2310,985;2355,1370;2155,1420;2055,1245;2010,1090
2500,955;2710,985;2755,1370;2555,1420;2455,1245;2410,1090
2900,955;3110,985;3155,1370;2955,1420;2855,1245;2810,1090
3300,955;3510,985;3555,1370;3355,1420;3255,1245;3210,1090
700,1295;910,1325;955,1710;755,1760;655,1585;610,1430
1100,1295;1310,1325;1355,1710;1155,1760;1055,1585;1010,1430
1500,1295;1710,1325;1755,1710;1555,1760;1455,1585;1410,1430
1900,1295;2110,1325;2155,1710;1955,1760;1855,1585;1810,1430
2300,1295;2510,1325;2555,1710;2355,1760;2255,1585;2210,1430
2700,1295;2910,1325;2955,1710;2755,1760;2655,1585;2610,1430
3100,1295;3310,1325;3355,1710;3155,1760;3055,1585;3010,1430
3500,1295;3710,1325;3755,1710;3555,1760;3455,1585;3410,1430
500,1635;710,1665;755,2050;555,2100;455,1925;410,1770
900,1635;1110,1665;1155,2050;955,2100;855,1925;810,1770
1300,1635;1510,1665;1555,2050;1355,2100;1255,1925;1210,1770
1700,1635;1910,1665;1955,2050;1755,2100;1655,1925;1610,1770
2100,1635;2310,1665;2355,2050;2155,2100;2055,1925;2010,1770
2500,1635;2710,1665;2755,2050;2555,2100;2455,1925;2410,1770
2900,1635;3110,1665;3155,2050;2955,2100;2855,1925;2810,1770
3300,1635;3510,1665;3555,2050;3355,2100;3255,1925;3210,1770
700,1975;910,2005;955,2390;755,2440;655,2265;610,2110
1100,1975;1310,2005;1355,2390;1155,2440;1055,2265;1010,2110
1500,1975;1710,2005;1755,2390;1555,2440;1455,2265;1410,2110
1900,1975;2110,2005;2155,2390;1955,2440;1855,2265;1810,2110
2300,1975;2510,2005;2555,2390;2355,2440;2255,2265;2210,2110
2700,1975;2910,2005;2955,2390;2755,2440;2655,2265;2610,2110
3100,1975;3310,2005;3355,2390;3155,2440;3055,2265;3010,2110
3500,1975;3710,2005;3755,2390;3555,2440;3455,2265;3410,2110
