0:545,2300,0.900,1
1:895,2310,0.900,2
2:1265,2305,0.900,3
3:1625,2310,0.900,4
4:1990,2300,0.900,5
5:2325,2320,0.900,6
6:2700,2320,0.950,7
7:255,265,1.050,48
8:655,275,1.050,47
9:1035,290,1.050,46
10:470,705,1.000,33
11:860,710,1.000,34
12:1235,715,1.000,35
13:3070,2320,0.950,8
14:2900,1935,0.950,9
15:2535,1935,0.950,10
16:2165,1925,0.950,11
17:1805,1930,0.950,12
18:1440,1920,0.900,13
19:1075,1925,0.950,14
20:715,1930,0.950,15
21:350,1930,0.950,16
